Rank,TIERS,Player,Team,POS,Pos,Bye,SOS SEASON,ECR VS. ADP
1,1,Ja'Marr Chase,CIN,WR1,WR,10,3 out of 5 stars,0
2,1,Bijan Robinson,ATL,RB1,RB,5,4 out of 5 stars,0
3,1,CeeDee Lamb,DAL,WR2,WR,10,2 out of 5 stars,3
4,1,Justin Jefferson,MIN,WR3,WR,6,2 out of 5 stars,0
5,1,Jahmyr Gibbs,DET,RB2,RB,8,2 out of 5 stars,0
6,2,Saquon Barkley,PHI,RB3,RB,9,3 out of 5 stars,-3
7,2,Malik Nabers,NYG,WR4,WR,14,2 out of 5 stars,2
8,2,Amon-Ra St. Brown,DET,WR5,WR,8,3 out of 5 stars,0
9,2,Nico Collins,HOU,WR6,WR,6,4 out of 5 stars,4
10,2,Puka Nacua,LAR,WR7,WR,8,3 out of 5 stars,1
11,2,Christian McCaffrey,SF,RB4,RB,14,3 out of 5 stars,-4
12,2,Brian Thomas Jr.,JAC,WR8,WR,8,4 out of 5 stars,3
13,2,Drake London,ATL,WR9,WR,5,3 out of 5 stars,7
14,3,Ashton Jeanty,LV,RB5,RB,8,2 out of 5 stars,-2
15,3,A.J. Brown,PHI,WR10,WR,9,3 out of 5 stars,3
16,3,De'Von Achane,MIA,RB6,RB,12,4 out of 5 stars,-2
17,3,Brock Bowers,LV,TE1,TE,8,2 out of 5 stars,0
18,3,Ladd McConkey,LAC,WR11,WR,12,3 out of 5 stars,8
19,3,Trey McBride,ARI,TE2,TE,8,5 out of 5 stars,8
20,3,Jaxon Smith-Njigba,SEA,WR12,WR,8,3 out of 5 stars,12
21,3,Derrick Henry,BAL,RB7,RB,7,4 out of 5 stars,-11
22,4,Tee Higgins,CIN,WR13,WR,10,3 out of 5 stars,7
23,4,Chase Brown,CIN,RB8,RB,10,4 out of 5 stars,2
24,4,Josh Allen,BUF,QB1,QB,7,4 out of 5 stars,-3
25,4,Garrett Wilson,NYJ,WR14,WR,9,4 out of 5 stars,15
26,4,Lamar Jackson,BAL,QB2,QB,7,3 out of 5 stars,-4
27,4,Bucky Irving,TB,RB9,RB,9,3 out of 5 stars,-4
28,4,Josh Jacobs,GB,RB10,RB,5,4 out of 5 stars,-12
29,4,Tyreek Hill,MIA,WR15,WR,12,3 out of 5 stars,2
30,4,Jonathan Taylor,IND,RB11,RB,11,2 out of 5 stars,-11
31,4,George Kittle,SF,TE3,TE,14,3 out of 5 stars,7
32,4,Davante Adams,LAR,WR16,WR,8,3 out of 5 stars,9
33,4,Mike Evans,TB,WR17,WR,9,3 out of 5 stars,6
34,4,Jayden Daniels,WAS,QB3,QB,12,2 out of 5 stars,-4
35,5,Kyren Williams,LAR,RB12,RB,8,3 out of 5 stars,-11
36,5,Marvin Harrison Jr.,ARI,WR18,WR,8,4 out of 5 stars,7
37,5,Jalen Hurts,PHI,QB4,QB,9,3 out of 5 stars,-3
38,5,DJ Moore,CHI,WR19,WR,5,2 out of 5 stars,9
39,5,Alvin Kamara,NO,RB13,RB,11,4 out of 5 stars,-2
40,5,Terry McLaurin,WAS,WR20,WR,12,3 out of 5 stars,4
41,5,Kenneth Walker III,SEA,RB14,RB,8,3 out of 5 stars,1
42,5,James Cook,BUF,RB15,RB,7,4 out of 5 stars,-14
43,5,Omarion Hampton,LAC,RB16,RB,12,2 out of 5 stars,-7
44,5,Courtland Sutton,DEN,WR21,WR,12,3 out of 5 stars,7
45,5,DK Metcalf,PIT,WR22,WR,5,4 out of 5 stars,4
46,5,Breece Hall,NYJ,RB17,RB,9,5 out of 5 stars,-11
47,5,Joe Burrow,CIN,QB5,QB,10,2 out of 5 stars,-14
48,5,DeVonta Smith,PHI,WR23,WR,9,3 out of 5 stars,6
49,5,Tetairoa McMillan,CAR,WR24,WR,14,4 out of 5 stars,12
50,6,Chuba Hubbard,CAR,RB18,RB,14,3 out of 5 stars,-5
51,6,James Conner,ARI,RB19,RB,8,3 out of 5 stars,-5
52,6,TreVeyon Henderson,NE,RB20,RB,14,4 out of 5 stars,-4
53,6,Xavier Worthy,KC,WR25,WR,10,3 out of 5 stars,0
54,6,Jaylen Waddle,MIA,WR26,WR,12,3 out of 5 stars,18
55,6,Calvin Ridley,TEN,WR27,WR,10,4 out of 5 stars,11
56,6,Zay Flowers,BAL,WR28,WR,7,3 out of 5 stars,3
57,6,George Pickens,DAL,WR29,WR,10,2 out of 5 stars,10
58,6,Jameson Williams,DET,WR30,WR,8,3 out of 5 stars,0
59,6,Tony Pollard,TEN,RB21,RB,10,2 out of 5 stars,10
60,6,D'Andre Swift,CHI,RB22,RB,5,3 out of 5 stars,-5
61,6,RJ Harvey,DEN,RB23,RB,12,2 out of 5 stars,-1
62,6,Patrick Mahomes II,KC,QB6,QB,10,3 out of 5 stars,-12
63,6,T.J. Hockenson,MIN,TE4,TE,6,3 out of 5 stars,1
64,6,Chris Olave,NO,WR31,WR,11,4 out of 5 stars,13
65,6,David Montgomery,DET,RB24,RB,8,2 out of 5 stars,-9
66,6,Aaron Jones Sr.,MIN,RB25,RB,6,3 out of 5 stars,2
67,6,Isiah Pacheco,KC,RB26,RB,10,2 out of 5 stars,-4
68,6,Rashee Rice,KC,WR32,WR,10,3 out of 5 stars,-11
69,7,Travis Hunter,JAC,WR33,WR,8,4 out of 5 stars,1
70,7,Jerry Jeudy,CLE,WR34,WR,9,2 out of 5 stars,4
71,7,Baker Mayfield,TB,QB7,QB,9,2 out of 5 stars,-6
72,7,Sam LaPorta,DET,TE5,TE,8,3 out of 5 stars,-20
73,7,Bo Nix,DEN,QB8,QB,12,4 out of 5 stars,-2
74,7,Rome Odunze,CHI,WR35,WR,5,2 out of 5 stars,4
75,7,Travis Kelce,KC,TE6,TE,10,3 out of 5 stars,-13
76,7,Stefon Diggs,NE,WR36,WR,14,3 out of 5 stars,6
77,7,Jakobi Meyers,LV,WR37,WR,8,4 out of 5 stars,7
78,7,Tyrone Tracy Jr.,NYG,RB27,RB,14,3 out of 5 stars,1
79,7,Jaylen Warren,PIT,RB28,RB,5,4 out of 5 stars,7
80,7,Kyler Murray,ARI,QB9,QB,8,4 out of 5 stars,5
81,7,David Njoku,CLE,TE7,TE,9,3 out of 5 stars,2
82,7,Ricky Pearsall,SF,WR38,WR,14,4 out of 5 stars,7
83,7,Emeka Egbuka,TB,WR39,WR,9,3 out of 5 stars,10
84,7,Dak Prescott,DAL,QB10,QB,10,2 out of 5 stars,15
85,7,Evan Engram,DEN,TE8,TE,12,3 out of 5 stars,-4
86,7,Kaleb Johnson,PIT,RB29,RB,5,4 out of 5 stars,-10
87,7,Mark Andrews,BAL,TE9,TE,7,3 out of 5 stars,-14
88,7,Travis Etienne Jr.,JAC,RB30,RB,8,2 out of 5 stars,7
89,7,Brock Purdy,SF,QB11,QB,14,4 out of 5 stars,7
90,8,Khalil Shakir,BUF,WR40,WR,7,3 out of 5 stars,7
91,8,Justin Fields,NYJ,QB12,QB,9,5 out of 5 stars,17
92,8,Jauan Jennings,SF,WR41,WR,14,4 out of 5 stars,8
93,8,Jordan Addison,MIN,WR42,WR,6,2 out of 5 stars,-5
94,8,Deebo Samuel Sr.,WAS,WR43,WR,12,3 out of 5 stars,-14
95,8,Justin Herbert,LAC,QB13,QB,12,3 out of 5 stars,14
96,8,Zach Charbonnet,SEA,RB31,RB,8,3 out of 5 stars,18
97,8,Caleb Williams,CHI,QB14,QB,5,2 out of 5 stars,20
98,8,Josh Downs,IND,WR44,WR,11,4 out of 5 stars,23
99,8,Michael Pittman Jr.,IND,WR45,WR,11,4 out of 5 stars,16
100,8,Drake Maye,NE,QB15,QB,14,5 out of 5 stars,26
101,8,Javonte Williams,DAL,RB32,RB,10,2 out of 5 stars,6
102,8,Cooper Kupp,SEA,WR46,WR,8,3 out of 5 stars,-15
